Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	Application Package
HydraDevOps.Automation.Service		All	Yes	Allow	No	Any	Any	Any	TCP	62000-63999	Any	Any	Any	Any	Any	Any
HydraDevOps.Automation.Tests.Debug		Public	Yes	Allow	No	D:\mc\cloudideaas\root\hydradevops.automation.tests.debug\bin\debug\netcoreapp3.1\hydradevops.automation.tests.debug.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any
HydraDevOps.Automation.Tests.Debug		Public	Yes	Allow	No	D:\mc\cloudideaas\root\hydradevops.automation.tests.debug\bin\debug\netcoreapp3.1\hydradevops.automation.tests.debug.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any
HydraDevOps.Elasticsearch		All	Yes	Allow	No	Any	Any	Any	TCP	9200	Any	Any	Any	Any	Any	Any
HydraDevOps.Services		All	Yes	Allow	No	Any	Any	Any	TCP	65400-65499	Any	Any	Any	Any	Any	Any
LoggingTraceListener		Public	Yes	Allow	No	D:\mc\cloudideaas\root\loggingtracelistener\bin\release\netcoreapp3.1\loggingtracelistener.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any
LoggingTraceListener		Public	Yes	Allow	No	D:\mc\cloudideaas\root\loggingtracelistener\bin\debug\netcoreapp3.1\loggingtracelistener.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any
LoggingTraceListener		Public	Yes	Allow	No	D:\mc\cloudideaas\root\loggingtracelistener\bin\release\netcoreapp3.1\loggingtracelistener.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any
LoggingTraceListener		Public	Yes	Allow	No	D:\mc\cloudideaas\root\loggingtracelistener\bin\debug\loggingtracelistener.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any
LoggingTraceListener		Public	Yes	Allow	No	D:\mc\cloudideaas\root\loggingtracelistener\bin\debug\netcoreapp3.1\loggingtracelistener.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	Any
LoggingTraceListener		Public	Yes	Allow	No	D:\mc\cloudideaas\root\loggingtracelistener\bin\debug\loggingtracelistener.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	Any
MongoDB		Public	Yes	Allow	No		Any	Any	TCP	27017	Any	Any	Any	Any	Any	Any
