Dll,Assembly,Service,Package,Type,Interface
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.OLE.Interop/7.1.40304.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.OLE.Interop.dll,,SOleComponentManager,,,Microsoft.VisualStudio.OLE.Interop.IOleComponentManager
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio.Design,SVSMDDesignerService,,,Microsoft.VisualStudio.OLE.Interop.IMarshal
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio.Design,SVSMDDesignerService,,,Microsoft.VisualStudio.OLE.Interop.IConnectionPointContainer
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio.Design,SVSMDDesignerService,,,Microsoft.VisualStudio.OLE.Interop.IProvideClassInfo
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio.Design,SVSMDDesignerService,,,Microsoft.VisualStudio.Shell.Interop.SVSMDDesignerService
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio.Design,SVSMDDesignerService,,,Microsoft.VisualStudio.Shell.Interop.IVsSolutionEvents
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio,SVSMDPropertyBrowser,,,Microsoft.VisualStudio.OLE.Interop.IOleCommandTarget
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio,SVSMDPropertyBrowser,,,Microsoft.VisualStudio.OLE.Interop.IMarshal
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio,SVSMDPropertyBrowser,,,Microsoft.VisualStudio.OLE.Interop.IConnectionPointContainer
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio,SVSMDPropertyBrowser,,,Microsoft.VisualStudio.OLE.Interop.IProvideClassInfo
file:///C:/Windows/assembly/GAC/Microsoft.VisualStudio.Shell.Interop.8.0/8.0.0.0__b03f5f7f11d50a3a/Microsoft.VisualStudio.Shell.Interop.8.0.dll,Microsoft.VisualStudio,SVSMDPropertyBrowser,,,Microsoft.VisualStudio.Shell.Interop.SVSMDPropertyBrowser
